timestamp,file_id,category,tonnage_mt,grade_primary,contained_metal
2026-01-09 14:09:20,878C2FBC,Measured,4.1,14.31,"1,893 koz Au"
2026-01-09 14:09:20,878C2FBC,Indicated,3.8,14.38,"1,736 koz Au"
2026-01-09 14:09:20,878C2FBC,Inferred,4.7,12.11,"1,823 koz Au"
2026-01-09 14:50:55,D11891E2,Measured,275.4,0.52,4.58 Moz Au
2026-01-09 14:50:55,D11891E2,Measured,275.4,0.17,615.4 Mlb Cu
2026-01-09 14:50:55,D11891E2,Inferred,359.6,0.56,6.44 Moz Au
2026-01-09 14:50:55,D11891E2,Inferred,359.6,0.09,388.5 Mlb Cu
2026-01-09 15:02:57,2B2256D4,Measured,79.0,55.0,140 koz Au
2026-01-09 15:02:57,2B2256D4,Indicated,448.0,56.0,865 koz Au
2026-01-09 15:02:57,2B2256D4,Inferred,223.0,62.0,447 koz Au
2026-01-09 15:26:40,2B2256D4,Measured,79.0,55.0,140 koz Au
2026-01-09 15:26:40,2B2256D4,Indicated,448.0,56.0,865 koz Au
2026-01-09 15:26:40,2B2256D4,Inferred,223.0,62.0,447 koz Au
2026-01-09 16:03:43,278C5D9A,Measured,51.6,0.49,0.82 Moz Au
2026-01-09 16:03:43,278C5D9A,Indicated,132.4,0.48,2.06 Moz Au
2026-01-09 16:03:43,278C5D9A,Indicated,101.8,0.54,1.76 Moz Au
2026-01-09 16:03:43,278C5D9A,Inferred,153.0,0.57,2.82 Moz Au
2026-01-09 16:03:43,278C5D9A,Inferred,100.2,0.47,1.51 Moz Au
2026-01-09 16:03:43,278C5D9A,Inferred,96.2,0.543,1.68 Moz Au
2026-01-09 16:34:33,278C5D9A,Measured,51.6,0.49,0.82 Moz Au
2026-01-09 16:34:33,278C5D9A,Indicated,132.4,0.48,2.06 Moz Au
2026-01-09 16:34:33,278C5D9A,Indicated,101.8,0.54,0.97 Moz Au
2026-01-09 16:34:33,278C5D9A,Inferred,153.0,0.57,2.82 Moz Au
2026-01-09 16:34:33,278C5D9A,Inferred,100.2,0.47,1.51 Moz Au
2026-01-09 16:34:33,278C5D9A,Inferred,96.2,0.543,1.68 Moz Au
